DATE,CUSTOMER ,ADDRESS,QUANTITY ,,RATE,,
10/21/2025,SOUDERS,"641 Swedesboro Road, Greenwich Township, NJ 8027:",,CC,WB $3.80,,
,,6744 Washington Egg Harbor,,STONE,14.29,,
,,6744 Washington Egg Harbor,,"12"" RIP",28.16,,
,,"200 Ogden Station Rd, West Deptford, NJ 08086.",,"12"" RIP",24.48,,
,,"52 Pointers Auburn Rd, Pedricktown, NJ 08067.",,"12"" RIP",25.79,,
,,20 North Ave East Elizabeth,,Salt,19.31,,
,,941 Rt 10 Whippany,,Salt,19.4347826086957,,
,,200 Milik St Carteret ,,Salt,17.904347826087,,
,,"SUNSET BLVD CAPE MAY, NJ",10000,stone,21.2,,
,,"503 SPRUCE ST GLASSBORO, NJ
",,SAND,5.07,,
,,"3200 RT 37, TOMS RIVER NJ ",,STONE,$11.32/TON,,
,,83 Millstone Rd Princeton Jct,,Stone,5.95,,
10/21/2025,STATE LINE,"100 MIDDLESEX ESSEX TURNPIKE, ISELIN, NJ",1 LOAD ,STONE,8.3,,
,FURINO,50 ENERGY DR. FAIRLESS HILLS PA,,STONE,12.36,,
,,"200 Crossroads Blvd, Logan Township, NJ 08085",,stone,15.07,,
10/21/2025,BAZELLA,"3641 Route 42 South, Turnersville, NJ 08012",300,STONE,14.36,,
10/22/2025,,2 Skyline Dr Caldwell,"200 tons 12-36"" ",Stone ,26.32 +FSC,,
,ARCO,"641 Swedesboro Road, Greenwich Township, NJ 8027:",6000,stone,14.12,,
,,"37 west crescent blvd collingswood, nj",,stone,12.73,,
,,"37 west crescent blvd collingswood, nj",,cc,WB $3.86,,
,ABBONIZIO,"Roxbough  Summit & Ridge ave   Phila.,  PA",3500,sand,FR $12.27,,
10/22/2025,BEDROCK,"98 ARK RD, PEMBERTON  MAPS AS LUMBERTON",500,CC WB,6.4,,
,,485 Rt 1S Iselin,,Stone,8.3,,
,,268 Ridge Rd Frenchtown,,Stone,9.18,,
,,800 North rd Hopewell ,,Stone,6.08,,
,,123 White Oak Lane Old Bridge,,Stone,9.63,,
,,123 White Oak Lane Old Bridge,,Sand Ew,11.34,,
,,123 White Oak Lane Old Bridge,,CC ET,5.7,,
,,Rt 35 over Wreck pond Sea Girt   RT 35 DOES NOT CROSS OVER WRECK POND,Use 1st over Wreck pond,Stone,12.21,,
,Acacia ,"2351 CENTURY DR, West Mifflin",,Salt,NO BID PER KL,,
,Acacia ,"4250 SUMMIT PARK DR, Pittsburgh",,Salt,NO BID PER KL,,
,Acacia ,"355 LINCOLN AVE, East Stroudsburg",,Salt,26.29,,
,Acacia ,"2010 VILLAGE CENTER DR, Tarentum",,Salt,NO BID PER KL,,
,Acacia ,"6520 Carlisle Pike, Mechanicsburg",,Salt,32.71,,
,Acacia ,"1000 Franklin Mills Cir, Philadelphia",,Salt,7.25,,
,Acacia ,"921 Viewmont Dr, Dickson City",,Salt,30.94,,
,Acacia ,"5314 Allentown Pike, Temple",,Salt,23.47,,
,Acacia ,"Novacare Way, Philadelphia",,Salt,10.42,,
,Acacia ,"400 PARK PL, Secaucus",,Salt,22.89,,
,Acacia ,"2000 Clements Bridge Rd, Deptford",,Salt,11.85,,
,Acacia ,"320 W Main St, Freehold",,Salt,14.28,,
,,31 Deans Pond Lane Monmouth Jct ,,SAND EW,10.89,,
,,31 Deans Pond Lane Monmouth Jct ,,Stone,6.02,,
,,Main St & Maple Ave Pohatcong,,Stone,10.7,,
,,Main St & Maple Ave Pohatcong,,SAND EW,16.53,,
10/23/2025,STATE LINE,"382 CEDAR AVE., LONG BRANCH NJ",1 LOAD ,STONE,12.59,,
,,"503 spruce st glassboro, nj",,stone,15.26,,
,,Creek Road in Bellmawr nj,35k,stone,12.86,,
,,186 Capricorn Dr Hillsbourgh ,,SAND EW,10.96,,
,,2 CARR AVE. KEANSBURG NJ,,STONE,11.4,,
10/24/2025,ATLANTIC SITE,"1525 S WASHINGTON AVE, PISCATAWAY, NJ",50 LOADS,STONE/DGA,6.71,,
,,"102 Ponderosa Lane Wellsboro, Pennsylvania 16901",,salt,NO BID PER KL,,
,Earle,860 Fischer Blvd Toms River NJ,,stone,11.5,,
,,"160 rt 72 manahawkin, nj",,sand,3.93,,
,,400 nj-38 moorestown nj (Moorestown mall),,STONE,11.08,,
,,"21 NORTH BURDEN HILL RD QUINTON, NJ",,STONE,19.5,,
,,1745 Easton Rd. Doylestown PA 18901,,  ,$9.34/TON,,
10/27/2025,,52 Cragwood Rd South Plainfield ,,SAND EW,11.46,,
,,23 Municipal Plaza Monroe,,Stone,8.23,,
,,23 Municipal Plaza Monroe,,SAND EW,10.77,,
,,1449 Newark Jersey City Turnpike Kearny,,Stone,11.87,,
,,"124 stanger ave glassboro, nj",,sand,FR $5.45,,
,,"124 stanger ave glassboro, nj",,stone,15.71,,
,,2305 E Bay Terrace- Ship Bottom,,sand,3.99,,
,,70 ALEXANDER ROAD  LAMBERTVILLE NJ,,salt,12.6,,
10/28/2025,Ortley stone & Gravel,"128 Bay Blvd, Ortley Beach NJ 08751",,EW Sand,7.89,,
,,"Hartford Crossing, Medford NJ
Church Rd & Rt 616 Medford NJ 08055",,stone,11.27,,
,,"Commercial Vehicle Inspection Facility
at Former 11N MP 100.4
Elizabeth NJ
",may I ask what HWY?,stone,11.37,,
,,1506 East Lincoln Hwy Langhorne PA 19047,,salt,5.74,,
,,"530 smithville rd vincentown, nj",,cc wb,WB $7.41 BL $7.22,,
,,"recycle rd & deer rd bordentown, nj",,stone,8.93,,
,,100 Farber Rd Princeton,,Stone,5.64,,
,,100 Farber Rd Princeton,,Sand EW,10.32,,
,,628 Summit Ave Jersey City,,Stone ,11.91,,
,,606 Plainfield Rd Plainsboro,,Stone,5.7,,
,,308 Fairfield Rd Fairfield ,,Stone ,10.45,,
,,308 Fairfield Rd Fairfield ,,SAND EW,17,,
,,500 Warrenville Rd Warren,,Stone,6.78,,
,,500 Warrenville Rd Warren,,SAND EW,12.22,,
,,999 mountain Ave Middlesex,,Stone ,6.33,,
,,999 mountain Ave Middlesex,,SAND EW,11.27,,
,,999 mountain Ave Middlesex,,CC ET,8.11,,
,,Spotswood Englishtown rd & Morton St Monroe,,stone,9.31,,
,,"1960 Burlington-Mount Holly Rd, Westampton Township, NJ 08060",,BR CC,10.93,,
,,800 West Front st Chester PA,"10k 24-48""",Stone,28.43 + FSC,,
,,530 SMITHVILLE RD. VINCENTOWN ,,STONE,10.89,,
,,202-210 eighth ave asbury park ,5000,Stone ,12.34,,
,,"RAMBLER RD & NEW JERSEY AVE WILDWOOD, NJ","36""-42""",JETTY ,37.37 +FSC,,
,,73 Grovers Mill Rd Plainsboro,,Stone,5.95,,
,,Latimer Ave & Eastern Blvd in Berkeley NJ,,stone,10.89,,
,,88 Centenial Ave Piscataway,,Stone,6.46,,
10/31/2025,RE Pierson,South Avenue (CR 609) over Rocaps Run located in Bridgeton NJ,,stone,18.49,,
10/31/2025,RE Pierson,South Avenue (CR 609) over Rocaps Run located in Bridgeton NJ,,sand,PN $7.22  FR $8.74,,
10/31/2025,RE Pierson,Georgetown Rd to Game Creek Rd Carneys point,WHAT TOWN?,stone,16.09,,
10/31/2025,RE Pierson,Georgetown Rd to Game Creek Rd,,sand,FR $9.18,,
10/31/2025,,15 Apgar Ave Peapack Gladstone ,,Stone ,6.97,,
10/31/2025,,304 Monmouth Rd Georgia NJ,,Stone ,9.82,,
10/31/2025,,304 Monmouth Rd Georgia NJ,,SAND EW,10.39,,
10/31/2025,,North Gold Dr Robbinsville ,,Stone,7.79,,
10/31/2025,,North Gold Dr Robbinsville ,,CC ET,5.45,,
10/31/2025,,10 Friendship Rd Cranbury,,Stone,6.78,,
10/31/2025,,Ashley Ave & Esther Ave Ewing,,Sand EW,11.59,,
10/31/2025,,": 2300 Fairmount Ave # 16, Philadelphia, PA 19130",,stone,15.13,,
10/31/2025,,Georgetown Rd to Game Creek Rd Carneys point,,cc,WB $5.70,,
10/31/2025,,Georgetown Rd to Game Creek Rd Carneys point,,snd ew,16.53,,
10/31/2025,,Rt 9 & Jake Brown Rd Old Bridge,,Stone,9.94,,
10/31/2025,,Rt 9 & Jake Brown Rd Old Bridge,,Sand Ew,11.27,,
10/31/2025,,35 Kimberley Rd East. Brunswick ,,Stone,8.61,,
10/31/2025,GRASS LAWN,"343 Thornall,Edison,NJ",,Salt,14.6521739130435,,
10/31/2025,GRASS LAWN,"440 Route 22,Bridgewater,NJ",,Salt ,14.4130434782609,,
10/31/2025,GRASS LAWN,"25 Vreeland,Florham Park,NJ",,Salt ,19.5304347826087,,
10/31/2025,GRASS LAWN,"910 NJ-36,Hazlet,NJ",,Salt,17.5217391304348,,
10/31/2025,GRASS LAWN,"3 Marlen Drive,Hamilton,NJ",,Salt,8.24347826086957,,
10/31/2025,GRASS LAWN,"1109 Hunters Glen Drive,Plainsboro,NJ",,Salt,9.6304347826087,,
10/31/2025,GRASS LAWN,"1200 Lenox Dr,Lawrenceville,NJ",,Salt,7.57391304347826,,
10/31/2025,GRASS LAWN,"632 Schindler Dr,Brick,NJ",,Salt,16.3260869565217,,
10/31/2025,GRASS LAWN,"Provident Ct,Ocean Twp,NJ",,Salt,16.0869565217391,,
10/31/2025,GRASS LAWN,"950 Airport Road,Lakewood,NJ",,Salt,14.9869565217391,,
10/31/2025,GRASS LAWN,"770 Lighthouse Road,Barnegat,NJ",,Salt,19.6934782608696,,
10/31/2025,GRASS LAWN,"1700 Route 37,Toms River,NJ",,Salt,16.804347826087,,
10/31/2025,GRASS LAWN,"101 Campbell Blvd,Manahawkin,NJ",,Slay,20.0760869565217,,
10/31/2025,GRASS LAWN,"1 Byram Lane,Little Silver,NJ",,Salt,18.4086956521739,,
10/31/2025,GRASS LAWN,"5301 Neshaminy Blvd,Bensalem,PA",,Salt,6.73260869565218,,
10/31/2025,GRASS LAWN,"7900 Lindbergh Blvd,Philadelphia,PA",,Salt,10.2826086956522,,
10/31/2025,GRASS LAWN,"2385 West Cheltenham Avenue,Wyncote,PA",,Salt,12.7373913043478,,
10/31/2025,GRASS LAWN,"100 Old York Rd,Jenkintown,PA",,Salt,9.87260869565218,,
10/31/2025,GRASS LAWN,"1100 Virginia Dr,Fort Washington,PA",,Salt,9.79739130434782,,
11/03/2025,UNION PAVING,501 Elizabeth Ave Point Pleasant NJ,,STONE,11.58,,
11/03/2025,debex,"160 NJ-72, Manahawkin, NJ 08050",,sand,3.93,,
11/03/2025,debex,"160 NJ-72, Manahawkin, NJ 08050",,ston,10.07,,
,,"1451 commissioners rd mullica hill, nj",,stone,15.9,,
,,S STUMP TAVERN RD JACKSON nj ,,Stone ,11.15,,
11/04/2025,krisanna,129 WEST COHAWKIN RD. EAST GREENWICH TWP,,dry grout plant 28,$5.50/ton Logan,,
,,"133 w colliers mill rd new egypt, nj",,stone,10.2,,
,,"688 High Street Burlington, NJ. ",,stone,10.21,,
,,256 South Maple Ave Basking Ridge ,,Stone,$7.79/TON,,
,,256 South Maple Ave Basking Ridge ,,SAND EW,$13.68/TON,,
,,Rt 35 & Miller Ave Hazlet,,Stone,10.45,,
,,Rt 35 & Miller Ave Hazlet,,SAND EW,12.21,,
,,225 Long Ave Hillside,,Stone,10.26,,
,,225 Long Ave Hillside,,SAND EW,14.88,,
,,,,Stone ,10.01,,
,,308 Fairfield Rd Freehold,,SAND EW,10.32,,
,,308 Fairfield Rd Freehold,,CC ET,3.93,,
,,"299 Devlin Ave, Burlington Township, NJ 08016",,stone,10.51,,
,," 
7651 Jackson rd Mays Landing, New Jersey 08330",,Stone ,15.51,,
,,264 Stagecoach Rd Millstone,,Stone,10.32,,
,,24 Coddington Rd Whitehouse Station,,Stone,6.21,,
,,24 Coddington Rd Whitehouse Station,,SAND EW,12.41,,
,,Rt 130 & Renaissance Blvd North Brunswick ,,Stone ,7.35,,
,,Rt 130 & Renaissance Blvd North Brunswick ,,SAND EW,11.34,,
,,611 Wistar Rd Fairless Hills PA,,Sand Fr,15.56,,
,,100 Manor way Robbinsville ,,Stone ,7.98,,
,CONNELLY,"301 LAKESIDE DRIVE SOUTHAMPTON, PA",,SALT,6.59,,
,GREENBERG,"218 Munn Lane Cherry Hill, NJ",,STONE,11.84,,
,debex," 869 W BAY AVE BARNEGAT, NJ",,sand,3.8,,
,debex," 870 W BAY AVE BARNEGAT, NJ",,stone,10.42,,
11/06/2025,,166 Sandy Ridge Rd Stockton ,,Sand EW,$14.52/TON,,
11/06/2025,,1219 Lower Ferry Rd Ewing ,,Stone,$6.84/TON,,
11/06/2025,,718 Middle Rd. Hammonton  nj ,,Sand ,EW - $11.10/TON / FR - $5.70/TON,,
11/06/2025,,337 Talmage Ave Bound Brook,,Stone,5.76,,
11/06/2025,,1555 Avenue of the State in Lakewood,,stone,10.75,,
11/06/2025,,4425 rising sun ave Philadelphia,,salt,9.79,,
11/06/2025,,"26 Montana Avenue, Cherry Hill, NJ 08002",,stone,11.65,,
11/06/2025,,"441 wilkes barre township blvd wilkes-barre, pa",,salt,31.25,,
11/06/2025,,"langley ave & basin ridge rd philadelphia, pa",,"rip 18""",21.06 + FSC,,
11/06/2025,,"langley ave & basin ridge rd philadelphia, pa",,stone,15.42,,
11/06/2025,Sweetwater,"30 Pottstown Pike. Chester Springs, PA",,salt,17.09,,
11/06/2025,NAtive,"1000–1074 US-9 Old Bridge, NJ 08857",,salt,17.47,,
11/06/2025,NAtive,"1500 St. George Ave Avenel, NJ 07001",,salt,15.59,,
11/06/2025,NAtive,"1701 Morris Ave Union Township, NJ 07083",,salt,21.47,,
11/06/2025,NAtive,"2360 Lakewood Rd Toms River, NJ 08755",,salt,15.29,,
11/06/2025,NAtive,"331 Newman (Springs Rd) Red Bank, NJ 07701",,salt,20.44,,
11/06/2025,,"Hartford Crossing, Medford NJ Church Rd Rt 616
",,cc br,12.83,,
11/06/2025,NEW CUST,1710 NJ-38 Mt Holly NJ 08060,,salt,9.98478260869565,,
11/06/2025,NEW CUST,"300 E Winchester Ave, Langhorne, PA 19047",,salt,6.31304347826087,,
11/06/2025,NEW CUST,"364 W Trenton Ave, Morrisville, PA 19067",,salt,4.78260869565217,,
11/06/2025,acacia,1 LINCOLN FINANCIAL FIELD WAY,,salt,10.42,,
11/07/2025,,53 Kentucky Ave Paterson,,Stone,$11.48/TON,,
,,333 Davidson Ave Somerset,,Stone ,6.59,,
,,Haddon Ave which intersects RT 38 in Mt Laurel NJ. ,,sand,11.15,,
,,Haddon Ave which intersects RT 38 in Mt Laurel NJ. ,,stone,10.77,,
,,800 North Rd Hopewell,,stone,6.08,,
,,251 Scotch Rd Ewing,,Stone,7.22,,
,,515 Monmouth Road Jackson Township,,stone,9.56,,
,,94 Clay St Newark,,Stone,10.96,,
,,Park Dr Plainsboro,,Stone,6.4,,
11/10/2025,Edison Water & Sewer,54 Ethel Rd. Edison NJ,,stone,7.35,,
11/10/2025,ECF,"3943 Easton-Nazareth Hwy, Nazareth, PA 18064",,Salt,19.8060869565217,,
,DESAPIO,596 OAK GROVE RD. FRENCHTOWN NJ,,EW SAND,14.69,,
,Custom  landscape,"115 Stryker Ln, Hillsborough, NJ 08844",,,,,
,Custom  landscape,"755 NJ-18, East Brunswick, NJ 08816",,,,,
,Custom  landscape,"58 Vaughn, West Windsor, NJ 08550",,,,,
,Custom  landscape,"18 Hightstown-Cranbury Station Rd, East Windsor, NJ 08512",,,,,
,Custom  landscape,"701 Nassau Park Blvd, Princeton, NJ 08540",,,,,
,Custom  landscape,"Capital Health Hopewell Medical Center, 1 Capital Way, Pennington, NJ 08534",,,,,
,Custom  landscape,"Amazon LGA9, 2170 Route 27, Edison, NJ 08817",,,,,
,Custom  landscape,"Amazon DJZ3, 377 Roosevelt Ave, Carteret, NJ 07008",,,,,
,Custom  landscape,"4 S Middlesex Ave, Monroe, NJ 08831",,,,,
,Custom  landscape,"Acme Clark, 1060 Raritan Rd, Clark, NJ 07066",,,,,
,Custom  landscape,"789 St Georges Ave, Woodbridge, NJ 07095",,,,,
,Custom  landscape,"Surrey Downs, Queen Anne Blvd, Freehold, NJ 07728",,,,,
,Custom  landscape,"Liberty Coca-Cola, 60 Deans Rhode Hall Rd, Monmouth Junction, NJ 08852",,,,,
,Custom  landscape,"8 Santa Fe Way, 8 Santa Fe Way, Cranbury, NJ 08512",,,,,
,Custom  landscape,"777 Scudders, 777 Scudders, Princeton, NJ 08540",,,,,
,Cavan,1012 Asbury Ave - Asbury Park NJ,,Stone,11.96,,
,Carbo,"50 Riverview Plaza, Trenton NJ",,stone,7.66,,
,,65 James St Edison,,Stone,8.11,,
,,33 Clawson St Piscataway,,Stone,6.71,,
,,33 Clawson St Piscataway,,Sand Ew,11.4,,
,,2426 CW HAINES BLVD. ATCO NJ,,Sand ,FR $5.95,,
,ACC Construction,"100 Airport Rd., Lakewood NJ",,stone,10.56,,
,,350 Mount Kimble Ave Morristown,,Stone,7.98,,
,,777 Grove Ave Edison ,,Sand Ew ,13.05,,
,,"Alder Avenue Middle School egg harbor, nj",,sand,FR $8.49,,
,,741 Frelinghuyson Ave Newark,,Stone,10.58,,
,,741 Frelinghuyson Ave Newark,,Sand Ew,14.9,,
,,741 Frelinghuyson Ave Newark,,CC ET,11.72,,
,,217 Riverside Dr Manasquan ,,Stone,11.5,,
,,217 Riverside Dr Manasquan ,,Sand Ew,9.19,,
,,217 Riverside Dr Manasquan ,,CC ET,7.66,,
,fabbri,"153 Harding Ave, Bellmawr, NJ 08031",,stone,12.54,,
,,21 ALLYSON RD in Jackson,,stone,9.63,,
,,2571 Main ST Extention Sayreville ,,Sand Ew,11.84,,
11/11/2025,MARK CYBULSKI,"142 S COMMODORE DR, LITTLE EGG HARBOR, NJ",,GRAVEL EW ,4.94,,
,,"142 S COMMODORE DR, LITTLE EGG HARBOR, NJ",,CC BR,11.15,,
11/11/2025,NORTHEAST PRECAST,"4081 S LINCOLN AVE., VINELAND NJ","7,000 TONS",CC LM,18.28,,
,acacia,2080 N BLACKHORSE PIKE WILLIAMSTOWN NJ,,SALT,14.4,,
,,"303 Harding Hwy, Carneys Point, NJ 08069",,Stone,16.02,,
,Capital concrete ,"3901 Sharon Terrace, Pennsauken NJ 08110",,Stone,12.67,,
,Worth & company,6000 asbury ave tinton falls nj,,stone,11.96,,
,,(End of) west 11th street in barnegat light,,EW SAND,6.33,,
,,"62 richmond avenue lumberton, nj",,stone,10.7,,
,,"350 East Evesham Road, Cherry Hill, NJ 08002.",,stone,12.1,,
,,"10 Academy St N, Glassboro, NJ 08028",,stone,14.44,,
,,"Old York Road Elkins Park, Pennsylvania 19027",I'M GOING TO NEED AN ADDRESS,stone,,,
,,"2301  highland ave bethleham, pa",fixed,salt,18.84,,
,,"120 main st tullytown, pa",,salt,4.78,,
,,"38 & Haddon Boulevard, Mount Laurel Township, NJ 08054",,stone,$10.75/ton,,
,,"38 & Haddon Boulevard, Mount Laurel Township, NJ 08054",,sand,ew - $11.13/ton,,
11/13/2025,KLINE,"248 W 15TH ST., SHIP BOTTOM NJ",1-2 LOADS,JETTY,26.32 +FSC,,
,,"130 Salina rd Sewell, nj ",,Sand ,FR $5.95,,
,Impact,"400 Grimes Rd, Sicklerville, NJ",,Salt,14.404347826087,,
,Impact,"510 Williamstown Rd, Sicklerville, NJ, 08081",,Salt,14.6347826086957,,
,Impact,"1147 Delsea Dr, Westville, NJ",,Salt,12.2152173913043,,
,Impact,"2101 Reamer Dr, Barrington, NJ",,Salt,12.1434782608696,,
,,"515 Monmouth Rd
Bldg 210 Jackson, NJ 08527
",,Stone ,9.56,,
,,"515 Monmouth Rd Bldg 210 
Jackson, NJ",,Sand ,10.07,,
,,"390 Toms River Road, Jackson NJ, 08527",,Salt,14.04,,
,Central irrigation ,"586 CHATSWORTH ROAD
TABERNACLE, NJ 08088",,Salt,13.95,,
,,"the end of Stafford Ave., Stafford Twp., Ocean County ",,STONE,11.3,,
,,Ansley Blvd and Chester Ave Pleasantville NJ.,,SAND ,EW 7.97,,
,,Ansley Blvd and Chester Ave Pleasantville NJ.,,STONE,14.44,,
11/13/2025,ALTINO,"927 W KELLY ST, METUCHEN NJ 08840",350,STONE/#57,8.11,,
11/14/2025,STATE LINE,"100 MIDDLESEX ESSEX TURNPIKE, WOODBRIDGE NJ",2 LOADS,#57,8.3,,
,,373 Burnt Hill Rd Skillman,,Stone ,3.8,,
,,140 Circle Dr Piscataway ,,Stone ,6.59,,
,,691 Dorothy Ave Perth Amboy,,Stone,8.23,,
,,180 Mountainview able Bernards ,Use BASKiNG RIDGE ,Stone ,6.4,,
,,555 Market St Perth Amboy,,Stone ,8.49,,
,,555 Market St Perth Amboy,,Sand Ew,11.53,,
,,"2150 S 3rd St, Philadelphia PA",,sand,FR $10.69,,
,,"76 Market St, Salem, NJ 08079",,stone,18.24,,
,new cust,"1055 hooper ave toms river, nj",,salt,16.57,,
,,15 Mountainview Ave Warren,,Sand Ew,12.54,,
,,15 Mountainview Ave Warren,,Stone,6.71,,
,,756 s main street west creek nj,,stone,9.75,,
,,500 Atrium Dr Somerset ,,Stone ,6.46,,
,,500 Atrium Dr Somerset ,,Sand Ew,11.27,,
,,500 Atrium Dr Somerset ,,CC ET,8.25,,
,new cust,"390 Toms River Rd, Jackson NJ 08527",,salt,14.04,,
,new cust,"10 Norham Dr, Monroe Township NJ 08831",,salt,12.1652173913043,,
,new cust,"1 Covenhoven Rd, Manalapan NJ 07726",,salt,13.5621739130435,,
,new cust,"38 Rolling Meadows Blvd S, Asbury Park NJ 0771",,salt,14.6521739130435,,
,,1240 Rt 22 Bridgewater ,,Stone,5.19,,
,South state ,"Cove Road, Downe, NJ 08345",,"12"" rip",$31.32 + FSC,,
,,172 Netcong Flanders Rd Mount Olive,,Stone,9.37,,
,,1962 Cedarbridge Ave in Lakewood NJ,,stone,10.56,,
,,525 Oberlin Ave S Lakewood,,sand,8.41,,
,," New York Avenue and 5th Street. WILDWOOD, NJ",,STONE,20.63,,
,,75 Jacksonville Rd Warminster PA,,Salt,7.68913043478261,,
,,150 Allendale Rd King Of Prussia PA,,Salt,12.1417391304348,,
,,"Old York Road Elkins Park, Pennsylvania 19027",,Stone,15.25,,
,,45 Rt 10 East Hanover,,Stone,9.06,,
,,"MP 6.40 - 39.702572, -75.378260",,STONE,16.56,,
,,"MP 6.40 - 39.702572, -75.378260",,SAND,FR $9.16,,
,,"MP 19.0 - 39.806087, -75.184067",,STONE,15.13,,
,,"MP 19.0 - 39.806087, -75.184067",,SAND,7.91,,
,Custom landscape ,"4 S Middlesex Ave, Monroe, NJ 08831",,Salt,14.03,,
,,"5 Olden Ave Flemington *COMES UP 5 OLDEN DRIVE, FLEMINGTON PLEASE CONFIRM",,Stone ,$5.97/TON,,
11/18/2025,CUT N VAC,2607 REDDINGTON RD HELLERTOWN PA,,SALT,19.71,,
,,56 Lafayette ave voorhees nj ,,Sand ,FR $6.33,,
11/18/2025,AUTUMN LAKE WINERY,"870 W MALAGA RD, WILLIAMSTOWN NJ",4 LOADS ,SAND FR,3.8,,
,,"3267 mill rd
Doylestown, PA, Pennsylvania 18902
",,salt,10.67,,
,,56 Lafayette ave voorhees nj ,,STONE,12.6,,
11/18/2025,HOLIDAY POCONO,"2428 STATE ROUTE 534, ALBRIGHTSVILLE PA 18210",1-2 LOADS ,SALT,26.32,,
,,121 Monmouth St Red Bank,,Sand Ew,12.26,,
,,700 Lisa Pl North Brunswick,Existing ,Salt,11.78,,
,,penton station alloway nj,,sand ,9.37,,
,,qauker neck rd alloway nj,,sand ,9.88,,
,,"MP 6.40 - 39.702572, -75.378260 Pedtrickstown",TRAILERS OK,"RIP 18""",$25.79 + FSC,,
,,"MP 19.0 - 39.806087, -75.184067 Paulsboro",TRAILERS OK,"RIP 18""",$24.75 + FSC,,
,,"MP 6.40 - 39.702572, -75.378260",,CLAY,PN $13.50,,
,,"MP 19.0 - 39.806087, -75.184067",,CLAY,PN $12.87,,
,,3018 nj-38 mt laurel nj ,,Cc WB ,5.76,,
,,2550 Kuser Rd Hamilton,,Stone ,$7.90/TON,,
,,2550 Kuser Rd Hamilton,,Sand Ew,$10.34/TON,,
,,2550 Kuser Rd Hamilton,,CC ET,$5.75/TON,,
,,55 Jackson Mills Rd Freehold,,Sand Ew,$10.29/TON,,
,,55 Jackson Mills Rd Freehold,,Stone,$10.29/TON,,
,Capelli Farms,15 Kanes Ln Middletown,New customer ,Salt,19.87,,
,COMPASS,225 randolph rd freehold nj,,STONE,10.77,,
,ATA LAwn,113 cross keys road berlin nj,,salt,13,,
,New cusTOMER,"1651 Glassboro Rd.Williamstown, New Jersey 08094
",,salt,15.17,,
,,39 Riverview Ave Neptune ,,Sand Ew,10.33,,
,,39 Riverview Ave Neptune ,,Stone ,11.77,,
,ac hesse ,2165 rt 9 toms river nj,,salt ,14.65,,
,central irrigation,"57 Schank Rd. Freehold, NJ
",,salt,14.49,,
,,745 NEW DURHAM RD. EDISON,,stone,7.28,,
11/19/2025,WALTERS,"650 SOUTH AVENUE, BRIDGETON, NJ 08302",,STONE/SAND PN,STN $18.49--PN $7.22,,
11/19/2025,WALTERS,"377 GOLFVIEW DR., STAFFORD TWP, NJ 08050",,STONE/SAND EW,STN $10.61--EW $3.80,,
11/19/2025,WALTERS,"300 STAFFORD AVE., MANAHAWKIN, NJ 08050",,STONE/SAND EW,STN $10.42--EW $3.80,,
11/19/2025,WALTERS,"100 COVE RD., NEWPORT, NJ 08345",3000,STONE,22.54,,
11/19/2025,WALTERS,"650 SOUTH AVENUE, BRIDGETON, NJ 08302",TRAILERS OK,"12"" RIP RAP",$30.00/TON + FSC,,
11/19/2025,WALTERS,"377 GOLFVIEW DR., STAFFORD TWP, NJ 08050",TRAILERS OK,"12"" RIP RAP",$20.79/TON + FSC,,
11/19/2025,WALTERS,"300 STAFFORD AVE., MANAHAWKIN, NJ 08050",TRAILERS OK,"12"" RIP RAP",$20.79/TON + FSC,,
11/19/2025,WALTERS,"100 COVE RD., NEWPORT, NJ 08345",TRAILERS OK,"12""RIP RAP",$31.06/TON + FSC,,
,Polar snow ,"420 mountain Ave new Providence, NJ ",Existing ,salt ,18.3347826086957,,
,Polar snow ,"2001 Rt 46 Parsippant, NJ ",Existing ,Salt,19.1,,
,Polar snow ,"2 Claridge Dr Verona, Nj",Existing ,Salt,22.42,,
,Polar snow ,"500 Hills Dr Bedminster, Nj",Existing ,Salt,15.3695652173913,,
,Polar snow ,"200 nestle Dr  Breinigsville, PA 18031",Existing ,Salt,17.9278260869565,,
,,"3660 S 11th St, Philadelphia, PA 19148",,stone,15.5,,
,,Convery Blvd & Chamberlain St Perth Amboy ,,Stone,8.23,,
,,750 Martin St Woodbridge ,"THIS CAME UP AS AVENEL, PLEASE CONFIRM",Stone,9.63,,
,doughtry & son ,"3601 S Broad St, Philadelphia, PA 19148",,salt,9.88,,
11/20/2025,OCEAN COUNTY,ZONE 1,,STONE/SAND,STN $11.03--EW  $8.69,,
,OCEAN COUNTY,ZONE 2,,STONE/SAND,STN $12.02--EW$ 9.15,,
,OCEAN COUNTY,ZONE 3,,STONE/SAND,STN $13.09--EW $10.44,,
,,"242-254 N LEIPZIG AVE EGGHARBORD CITY, NJ",,SAND,EW  $7.41,,
,,"1444 harding hwy newfield, nj",,stone,15.07,,
,,4268 Rt 9 Old Bridge,"MAPS AS DCH IN FREEHOLD, PLEASE CONFIRM",Stone ,10.07,,
,,4268 Rt 9 Old Bridge,"MAPS AS DCH IN FREEHOLD, PLEASE CONFIRM",Sand Ew,10.45,,
,,402 River Rd Chatham ,,Sand Ew,14.31,,
,,Foot of colony Rd Jersey City,,Sand Ew,16.44,,
,,304 Middlebury Dr Warwick PA,,Stone,9.75,,
,,106 bozarthtown rd tabernacle nj ,,Stone ,12.35,,
