DATE,CUSTOMER ,ADDRESS,QUANTITY ,,RATE,,
,,"1315 Mt Holly Rd, Edgewater Park, NJ 08010.",325 tons,sand,FR $9.53/TON,,
,,"1315 Mt Holly Rd, Edgewater Park, NJ 08010.",500 tons,stone ,$11.11/TON,,
,,300 S. BROAD ST ELIZABETH,,stone ,$11.19/TON,,
,,"400 N County Line Rd, Jackson Township, NJ 08527",3k ,stone ,$10.69/ton,,
,,"400 N County Line Rd, Jackson Township, NJ 08527",60 tons,sand,$9.68/ton,,
,,"7150 Ambassador
Fogelsville, Pennsylvania 18106
United States
",100 tons  ,stone ,$17.82/ton,,
,,"90 Flint Road,
Toms River, New Jersey 08757
",2000 tons,stone ,$10.69/ton,,
,,"195 Cedar Bridge Road
Stafford Township, NJ 08050
",1000,crushed,BR $8.63/TON,,
,,"Bristol PA
Linden Street
Pennsylvania Bristol
United State",1000,stone ,$11.47/TON,,
02/17/2025,Jackson Construction,"231 Freehold Rd., Jackson NJ",5 Loads,"2"" Ballast",$10.85/TON,,
,,2 CAMPUS DR PARSIPPANY,1000TONS,SAND EW,$14.71/ton,,
,,555 NEW BRUNSWICK AVE WOODBRIDGE,700 TONS,stone ,$7.89/ton,,
,,"3200 Route 37 Toms River, NJ",tbd,stone ,$11.39/ton,,
,,"3200 Route 37 Toms River, NJ",tbd,sand,$7.28/ton,,
,,"3200 Route 37 Toms River, NJ",tbd,crushed,$5.96/ton,,
,,340 HALF ACRE RD CRANBURY,30K,stone ,$7.32/ton,,
,,215 DAVIDSON AVE SOMERSET,30K,stone ,$6.19/ton,,
,,215 DAVIDSON AVE SOMERSET,,SAND EW,$11.05/ton,,
,,2271 HAMILTON BLVD SOUTH PLAINFIED,,stone ,$7.07/ton,,
,,2271 HAMILTON BLVD SOUTH PLAINFIED,SAND,SAND EW,$13.03/TON,,
,,"3144 W. Passyunk Ave. Philadelphia, Pennsylvania 19145.",4 loads,stone ,$16.44/TON,,
,, 395 SCHOOLHOUSE RD MONROE TWP,500,stone ,$8.23/TON,,
,,12 VANDERHOOF AVE DENVILLE - *CAME UP ROCKAWAY*,6K,stone ,$10.01/TON,,
,,91 CALDWELL PLACE  SPRINGFIELD NJ,1K,stone ,$9.00/ton,,
,,220 SCHOOLHOUSE RD SOUDERTON PA,1100,stone ,*** SEE KL,,
,,"299-307 Rt. 130, Cinnaminson, NJ 08077",2300 tons,stone ,12.25,,
,,"404 dock rd west creek, nj",250,sand ,EW SAND - $3.80/TON,,
,,244 GORDON RD ROBBINSVILLE,,stone ,$7.85/TON,,
,,"900 Richards Run and 319 Dultys Lane, Burlington, NJ.","140 tons 12"" rip rap",stone ,$11.00 / ton,,
,,"high st & e pearl st burlington, nj",500 tons,stone ,$10.32 / ton,,
,,"1960 Burlington-Mount Holly Rd, Westampton Township, NJ 08060",7000 tons,stone ,$9.69 / ton,,
,,"1960 Burlington-Mount Holly Rd, Westampton Township,   NJ 08060",1700 tons,crushed,SH CC - $4.37/TON,,
,,"1960 Burlington-Mount Holly Rd, Westampton Township, NJ 08060",1800 tons,sand,EW SAND - $10.70/TON,,
,Ron Gass,110 cedarville rd East Windsor nj 08520,12 loads,Screenings,$8.04/TON,,
,,"733 NJ-72 Manahawkin, NJ",1500 TONS,stone ,$10.44/ton,,
